index,City,Date,Card Type,Exp Type,Gender,Amount
0,"Delhi, India",29-Oct-14,Gold,Bills,F,82475
1,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,32555
2,"Bengaluru, India",27-Aug-14,Silver,Bills,F,101738
3,"Greater Mumbai, India",12-Apr-14,Signature,Bills,F,123424
4,"Bengaluru, India",5-May-15,Gold,Bills,F,171574
5,"Delhi, India",8-Sep-14,Silver,Bills,F,100036
6,"Delhi, India",24-Feb-15,Gold,Bills,F,143250
7,"Greater Mumbai, India",26-Jun-14,Platinum,Bills,F,150980
8,"Delhi, India",28-Mar-14,Silver,Bills,F,192247
9,"Delhi, India",1-Sep-14,Platinum,Bills,F,67932
10,"Delhi, India",22-Jun-14,Platinum,Bills,F,280061
11,"Greater Mumbai, India",7-Dec-13,Signature,Bills,F,278036
12,"Greater Mumbai, India",7-Aug-14,Gold,Bills,F,143250
13,"Delhi, India",27-Apr-14,Signature,Bills,F,254359
14,"Greater Mumbai, India",15-Aug-14,Signature,Bills,F,302834
15,"Greater Mumbai, India",28-Nov-14,Platinum,Bills,F,647116
16,"Greater Mumbai, India",14-Jun-14,Signature,Bills,F,421878
17,"Greater Mumbai, India",30-Mar-15,Gold,Bills,F,986379
18,"Greater Mumbai, India",15-Mar-14,Platinum,Bills,F,213047
19,"Greater Mumbai, India",9-Nov-13,Platinum,Bills,F,735566
20,"Delhi, India",4-Apr-14,Signature,Bills,F,366102
21,"Delhi, India",1-Jul-14,Signature,Bills,F,809623
22,"Greater Mumbai, India",27-Mar-15,Silver,Bills,F,467014
23,"Ahmedabad, India",11-Oct-13,Gold,Bills,F,668568
24,"Ahmedabad, India",26-Mar-14,Gold,Bills,F,339112
25,"Delhi, India",27-Sep-14,Silver,Bills,F,622170
26,"Bengaluru, India",23-Mar-14,Platinum,Bills,F,434427
27,"Greater Mumbai, India",17-May-14,Signature,Bills,F,655846
28,"Bengaluru, India",18-Jan-15,Platinum,Bills,F,987935
29,"Delhi, India",18-Apr-15,Gold,Bills,F,702774
30,"Bengaluru, India",31-Jul-14,Signature,Bills,F,225392
31,"Greater Mumbai, India",11-Feb-15,Gold,Bills,F,296573
32,"Ahmedabad, India",24-Nov-13,Platinum,Bills,F,227702
33,"Ahmedabad, India",8-Nov-14,Gold,Bills,F,864090
34,"Ahmedabad, India",6-Sep-14,Signature,Bills,F,440605
35,"Ahmedabad, India",24-Mar-15,Platinum,Bills,F,954660
36,"Ahmedabad, India",1-Jan-14,Signature,Bills,F,255577
37,"Ahmedabad, India",12-Jul-14,Silver,Bills,F,337352
38,"Ahmedabad, India",4-Feb-14,Platinum,Bills,F,660244
39,"Delhi, India",3-Feb-15,Silver,Bills,F,401351
40,"Delhi, India",27-Oct-13,Platinum,Bills,F,678842
41,"Delhi, India",11-May-14,Gold,Bills,F,478861
42,"Bengaluru, India",10-Nov-14,Platinum,Bills,F,804938
43,"Delhi, India",30-Jan-15,Silver,Bills,F,888341
44,"Bengaluru, India",19-Apr-14,Platinum,Bills,F,262414
45,"Bengaluru, India",8-Sep-14,Gold,Bills,F,249353
46,"Ahmedabad, India",10-Dec-13,Gold,Bills,F,892016
47,"Ahmedabad, India",4-Nov-13,Platinum,Bills,F,313626
48,"Greater Mumbai, India",1-Jun-14,Gold,Bills,F,314366
49,"Greater Mumbai, India",27-Apr-14,Signature,Bills,F,551340
50,"Delhi, India",4-Oct-13,Signature,Bills,F,735037
51,"Greater Mumbai, India",31-Dec-14,Platinum,Bills,F,574023
52,"Ahmedabad, India",21-Dec-13,Signature,Bills,F,402300
53,"Delhi, India",7-Dec-13,Signature,Bills,F,733125
54,"Greater Mumbai, India",7-Feb-14,Signature,Bills,F,545977
55,"Bengaluru, India",13-May-15,Silver,Bills,F,371572
56,"Ahmedabad, India",28-Jan-15,Signature,Bills,F,326283
57,"Delhi, India",9-Dec-14,Platinum,Bills,F,279051
58,"Delhi, India",8-Oct-13,Platinum,Bills,F,900101
59,"Ahmedabad, India",24-Apr-14,Silver,Bills,F,545286
60,"Delhi, India",13-Jan-15,Platinum,Bills,F,722587
61,"Bengaluru, India",14-Mar-14,Platinum,Bills,F,411062
62,"Delhi, India",27-Feb-14,Platinum,Bills,F,660910
63,"Greater Mumbai, India",29-Oct-13,Signature,Bills,F,557370
64,"Greater Mumbai, India",22-Jun-14,Platinum,Bills,F,549794
65,"Delhi, India",23-Jan-14,Platinum,Bills,F,340133
66,"Bengaluru, India",10-Nov-13,Gold,Bills,F,265417
67,"Greater Mumbai, India",13-Dec-13,Platinum,Bills,F,358185
68,"Greater Mumbai, India",22-Mar-14,Gold,Bills,F,991685
69,"Greater Mumbai, India",13-Jan-15,Gold,Bills,F,533762
70,"Greater Mumbai, India",8-May-14,Gold,Bills,F,829742
71,"Delhi, India",18-Feb-14,Silver,Bills,F,441527
72,"Delhi, India",4-Oct-13,Signature,Bills,F,550782
73,"Greater Mumbai, India",14-Jun-14,Platinum,Bills,F,835872
74,"Ahmedabad, India",24-Aug-14,Silver,Bills,F,540497
75,"Greater Mumbai, India",2-Apr-15,Platinum,Bills,F,525977
76,"Greater Mumbai, India",27-Jun-14,Gold,Bills,F,789393
77,"Greater Mumbai, India",6-Feb-15,Platinum,Bills,F,689478
78,"Bengaluru, India",29-Mar-14,Silver,Bills,F,499079
79,"Ahmedabad, India",22-Apr-14,Platinum,Bills,F,665107
80,"Greater Mumbai, India",14-Oct-14,Platinum,Bills,F,998077
81,"Ahmedabad, India",2-Feb-14,Silver,Bills,F,934205
82,"Bengaluru, India",1-Apr-15,Platinum,Bills,F,823426
83,"Ahmedabad, India",13-Jan-15,Signature,Bills,F,282910
84,"Bengaluru, India",27-Mar-14,Gold,Bills,F,418675
85,"Ahmedabad, India",17-Feb-15,Silver,Bills,F,804949
86,"Bengaluru, India",10-Feb-15,Gold,Bills,F,686601
87,"Greater Mumbai, India",26-Feb-14,Silver,Bills,F,561220
88,"Greater Mumbai, India",7-May-15,Gold,Bills,F,762534
89,"Bengaluru, India",5-Jan-14,Gold,Bills,F,327947
90,"Bengaluru, India",7-Apr-14,Gold,Bills,F,492986
91,"Delhi, India",20-Feb-15,Signature,Bills,F,369237
92,"Bengaluru, India",19-Jan-15,Platinum,Bills,F,983839
93,"Ahmedabad, India",14-Nov-14,Gold,Bills,F,776716
94,"Greater Mumbai, India",21-Jul-14,Gold,Bills,F,664632
95,"Bengaluru, India",3-Feb-15,Gold,Bills,F,466727
96,"Bengaluru, India",1-Nov-13,Gold,Bills,F,896384
97,"Delhi, India",7-Dec-13,Signature,Bills,F,712001
98,"Greater Mumbai, India",5-Aug-14,Silver,Bills,F,246865
99,"Greater Mumbai, India",8-Jan-15,Signature,Bills,F,858729
100,"Delhi, India",11-Apr-15,Platinum,Bills,F,581882
101,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,646426
102,"Bengaluru, India",24-Mar-15,Silver,Bills,F,687088
103,"Bengaluru, India",13-Oct-13,Signature,Bills,F,973026
104,"Greater Mumbai, India",24-Apr-15,Silver,Bills,F,944398
105,"Ahmedabad, India",9-Nov-14,Platinum,Bills,F,414422
106,"Bengaluru, India",4-Feb-15,Signature,Bills,F,408503
107,"Bengaluru, India",6-Mar-14,Signature,Bills,F,984466
108,"Greater Mumbai, India",27-Mar-14,Gold,Bills,F,919997
109,"Greater Mumbai, India",13-Nov-13,Signature,Bills,F,535101
110,"Greater Mumbai, India",22-Oct-13,Signature,Bills,F,978301
111,"Greater Mumbai, India",27-Sep-14,Gold,Bills,F,880406
112,"Ahmedabad, India",14-Nov-14,Silver,Bills,F,447241
113,"Bengaluru, India",21-Oct-13,Platinum,Bills,F,382191
114,"Bengaluru, India",15-May-15,Silver,Bills,F,775859
115,"Bengaluru, India",21-Mar-14,Platinum,Bills,F,832637
116,"Bengaluru, India",3-Apr-15,Platinum,Bills,F,458526
117,"Ahmedabad, India",6-Apr-15,Signature,Bills,F,440995
118,"Ahmedabad, India",5-Nov-13,Platinum,Bills,F,490128
119,"Delhi, India",7-Oct-13,Platinum,Bills,F,897079
120,"Delhi, India",31-Oct-14,Gold,Bills,F,431948
121,"Bengaluru, India",3-Apr-14,Silver,Bills,F,228072
122,"Delhi, India",21-Nov-13,Gold,Bills,F,757649
123,"Delhi, India",11-May-14,Signature,Bills,F,919877
124,"Greater Mumbai, India",23-May-14,Gold,Bills,F,605615
125,"Bengaluru, India",22-May-15,Platinum,Bills,F,500852
126,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,488136
127,"Delhi, India",16-Jun-14,Gold,Bills,F,937828
128,"Delhi, India",27-Jan-14,Gold,Bills,F,315873
129,"Greater Mumbai, India",20-May-15,Silver,Bills,F,567623
130,"Greater Mumbai, India",29-Oct-13,Platinum,Bills,F,555123
131,"Bengaluru, India",20-Apr-14,Gold,Bills,F,498843
132,"Greater Mumbai, India",23-May-14,Silver,Bills,F,752610
133,"Greater Mumbai, India",11-Mar-15,Platinum,Bills,F,494540
134,"Delhi, India",27-Oct-13,Gold,Bills,F,996754
135,"Ahmedabad, India",14-Jul-14,Signature,Bills,F,245572
136,"Delhi, India",18-Apr-14,Gold,Bills,F,974384
137,"Ahmedabad, India",25-Mar-14,Silver,Bills,F,846635
138,"Ahmedabad, India",1-Sep-14,Silver,Bills,F,635473
139,"Delhi, India",23-Mar-15,Gold,Bills,F,224510
140,"Delhi, India",24-Jan-15,Silver,Bills,F,478671
141,"Greater Mumbai, India",4-Oct-13,Gold,Bills,F,990700
142,"Delhi, India",14-Mar-14,Gold,Bills,F,228565
143,"Bengaluru, India",3-Jan-14,Silver,Bills,F,297732
