Date,City,ExpenseType,Amount,
10/29/2014,Delhi,India,Bills,82475
8/22/2014,Greater Mumbai,India,Bills,32555
8/27/2014,Bengaluru,India,Bills,101738
4/12/2014,Greater Mumbai,India,Bills,123424
2/24/2015,Delhi,India,Bills,143250
6/26/2014,Greater Mumbai,India,Bills,150980
3/28/2014,Delhi,India,Bills,192247
6/22/2014,Delhi,India,Bills,280061
4/27/2014,Delhi,India,Bills,254359
8/15/2014,Greater Mumbai,India,Bills,302834
11/28/2014,Greater Mumbai,India,Bills,647116
6/14/2014,Greater Mumbai,India,Bills,421878
3/30/2015,Greater Mumbai,India,Bills,986379
3/15/2014,Greater Mumbai,India,Bills,213047
3/27/2015,Greater Mumbai,India,Bills,467014
10/11/2013,Ahmedabad,India,Bills,668568
3/26/2014,Ahmedabad,India,Bills,339112
9/27/2014,Delhi,India,Bills,622170
3/23/2014,Bengaluru,India,Bills,434427
5/17/2014,Greater Mumbai,India,Bills,655846
1/18/2015,Bengaluru,India,Bills,987935
4/18/2015,Delhi,India,Bills,702774
7/31/2014,Bengaluru,India,Bills,225392
2/11/2015,Greater Mumbai,India,Bills,296573
11/24/2013,Ahmedabad,India,Bills,227702
3/24/2015,Ahmedabad,India,Bills,954660
7/12/2014,Ahmedabad,India,Bills,337352
10/27/2013,Delhi,India,Bills,678842
5/11/2014,Delhi,India,Bills,478861
11/10/2014,Bengaluru,India,Bills,804938
1/30/2015,Delhi,India,Bills,888341
4/19/2014,Bengaluru,India,Bills,262414
12/10/2013,Ahmedabad,India,Bills,892016
4/27/2014,Greater Mumbai,India,Bills,551340
12/31/2014,Greater Mumbai,India,Bills,574023
12/21/2013,Ahmedabad,India,Bills,402300
5/13/2015,Bengaluru,India,Bills,371572
1/28/2015,Ahmedabad,India,Bills,326283
4/24/2014,Ahmedabad,India,Bills,545286
1/13/2015,Delhi,India,Bills,722587
3/14/2014,Bengaluru,India,Bills,411062
2/27/2014,Delhi,India,Bills,660910
10/29/2013,Greater Mumbai,India,Bills,557370
6/22/2014,Greater Mumbai,India,Bills,549794
1/23/2014,Delhi,India,Bills,340133
11/10/2013,Bengaluru,India,Bills,265417
12/13/2013,Greater Mumbai,India,Bills,358185
3/22/2014,Greater Mumbai,India,Bills,991685
1/13/2015,Greater Mumbai,India,Bills,533762
2/18/2014,Delhi,India,Bills,441527
6/14/2014,Greater Mumbai,India,Bills,835872
8/24/2014,Ahmedabad,India,Bills,540497
6/27/2014,Greater Mumbai,India,Bills,789393
3/29/2014,Bengaluru,India,Bills,499079
4/22/2014,Ahmedabad,India,Bills,665107
10/14/2014,Greater Mumbai,India,Bills,998077
1/13/2015,Ahmedabad,India,Bills,282910
3/27/2014,Bengaluru,India,Bills,418675
2/17/2015,Ahmedabad,India,Bills,804949
2/10/2015,Bengaluru,India,Bills,686601
2/26/2014,Greater Mumbai,India,Bills,561220
2/20/2015,Delhi,India,Bills,369237
1/19/2015,Bengaluru,India,Bills,983839
11/14/2014,Ahmedabad,India,Bills,776716
7/21/2014,Greater Mumbai,India,Bills,664632
4/11/2015,Delhi,India,Bills,581882
2/15/2015,Greater Mumbai,India,Bills,646426
3/24/2015,Bengaluru,India,Bills,687088
10/13/2013,Bengaluru,India,Bills,973026
4/24/2015,Greater Mumbai,India,Bills,944398
3/27/2014,Greater Mumbai,India,Bills,919997
11/13/2013,Greater Mumbai,India,Bills,535101
10/22/2013,Greater Mumbai,India,Bills,978301
9/27/2014,Greater Mumbai,India,Bills,880406
11/14/2014,Ahmedabad,India,Bills,447241
10/21/2013,Bengaluru,India,Bills,382191
5/15/2015,Bengaluru,India,Bills,775859
3/21/2014,Bengaluru,India,Bills,832637
10/31/2014,Delhi,India,Bills,431948
